recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_duration,precursor_dose_time,plasma_purge_time,ALD_purge_time,campaign_id
0t4xa88kf5rbd0000sz2bf3xfw,1.2318882999825291,0.1032968796905427,0.0007468688108475939,"[0.0013033560248445, 1.4999274738437074, 0.1618322139684253, 1.4984731389771633, 1.498495925712512, 0.08359279432486237]",0.044082475674879495,9999.997474412765,4781.48373631273,10.001812888165501,10.003332255411292,0t4x5q9khsssx000604vsbw908
0t4xagzc8drsz000ptv4gfh5pm,1.3253762000240386,0.11597091128505814,0.0006683353691936874,"[0.0012466896677530929, 1.4988521930298522, 0.16768613429646462, 1.499976270749992, 1.4999441447659783, 0.08364776732025674]",0.040242958819984194,100.00016791808373,8798.042349083444,19999.998012615157,10.002939370006468,0t4x5q9khsssx000604vsbw908
0t4xaz690hr790005zzasb9e5r,1.2048869999707676,0.041961082766895474,0.0007412253313849398,"[0.0012840417637683833, 1.4993913570368087, 0.19145624329091582, 1.4999283916130948, 1.4987061255015321, 0.0801613873000524]",0.04189565774490496,100.00915611792249,100.00014725730838,10.011089620316039,9999.998876314277,0t4x5q9khsssx000604vsbw908
0t4xba0e9hvyk000mmeeb5w4eg,1.5051843000110239,0.09326615434299619,0.0006633683750260879,"[0.0012231939935832357, 1.4985701188078124, 0.15731813903603076, 1.4999070911567651, 1.4999944605986166, 0.0817436114096936]",0.03494761947665473,9999.999741816377,2456.400642597296,10.0118212031654,9999.992220972856,0t4x5q9khsssx000604vsbw908
0t4xbskx71t3s00053dk3s51dm,1.3545860999729484,0.12194443426929541,0.0005862220144441395,"[0.0011442753708845038, 1.4993669197621222, 0.16017264162302702, 1.498691175302834, 1.499858849269135, 0.08105609589799176]",0.01033259320580276,100.00099560398775,7912.415852160747,10.005402524254883,9999.990553650181,0t4x5q9khsssx000604vsbw908
0t4xc7fshsvgf0008t51gdddr8,1.4618779000011273,0.09395217661399155,0.0005804778922056794,"[0.0011836941961384049, 1.491611054101388, 0.18603603531094726, 1.4999044992403001, 1.4999132627923077, 0.07655735527233114]",0.031874515120230394,100.0005260339919,2713.5079596829373,19999.997350678164,9999.998551897252,0t4x5q9khsssx000604vsbw908
0t4xcv4h7hyev000yjvbatqstg,1.3125193000305444,0.08639556849771951,0.0005493012350642257,"[0.0012232927910024432, 1.4945497322332373, 0.21011063224348836, 1.499006297718089, 1.4999059963096606, 0.07257057970499732]",0.02408435498850317,100.00277561036688,9999.999652694158,10.004180171797845,10.001857355768097,0t4x5q9khsssx000604vsbw908
0t4xd20n7nrrv000zcv6v8aagc,1.385801199998241,0.10060952060263864,0.0005493049901163026,"[0.0012690876083860207, 1.4953619888867729, 0.21052646034307299, 1.4994483623637525, 1.4998005543327673, 0.07455068450639182]",0.033315951923896886,100.00135254919378,3819.9107902128944,10.008935047017331,10.001893326760147,0t4x5q9khsssx000604vsbw908
0t4xd6fdbhz6z0006ytgs3cyj4,1.4616808999562636,0.10252669871055403,0.0005206840755881389,"[0.0012747877809370384, 1.4992191320972341, 0.21663098719259666, 1.4985638890159436, 1.4996755910897428, 0.07498224085435316]",0.03148315737612571,9999.996396918454,4506.673082458653,19999.999780325077,9999.99817153868,0t4x5q9khsssx000604vsbw908
0t4xdypfr1zvn0003pp5jnbxgg,1.3635163999861106,0.10735853826000497,0.0006975115685925599,"[0.0018340873037194054, 1.4963482915939943, 0.34921925104300305, 1.4999497071818322, 1.499909032269127, 0.06554160557669102]",0.030383066461105286,9999.999963063212,9999.99937488452,10.006273768635,9999.999122913017,0t4x5q9khsssx000604vsbw908
