recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_prep_time,precursor_dose_time,plasma_purge_time,ALD_purge_time,campaign_id
0t49rakqz9w2x000b2s8fbsbxm,1.6265506999916397,0.13628753242057445,0.0003202421455044252,"[0.0017137741272152812, 1.4995766104516046, 0.36170203550204244, 1.4999360395244663, 1.4998773354981703, 0.1045332409513047]",0.061985627945767355,10.00253492334697,4701.513060661171,10.000092369684065,10.001177703715433,0t49fgtahnrvv000294qhkf8jm
0t49rf0dg5wn90002x7vadgskc,1.5118008999852464,0.1734702304700298,0.00023595694808266056,"[0.001610578972045286, 1.4998724908711876, 0.3300505455201281, 1.499608549896446, 1.499860104347253, 0.10671087735004861]",0.0507377637962236,2344.088033041124,5184.322473185543,3259.0749854608684,5999.996600079239,0t49fgtahnrvv000294qhkf8jm
0t49rtepxnwqf000he5j2c87rc,1.7248603000189178,0.13490155543278004,0.00030311759548155344,"[0.001661247902546955, 1.4999649259889638, 0.32017229805651987, 1.4997686012103122, 1.4998577929272243, 0.11064845050931653]",0.02603728656408539,10.001028114528644,2064.689798751766,10.000756351932331,5999.994829768919,0t49fgtahnrvv000294qhkf8jm
0t49s2g379tqq00040jbag9jp8,1.8492699000053108,0.18673050048384504,0.0002473381619522128,"[0.0015830480877213338, 1.4997584900990308, 0.2956273617776276, 1.4999674344780756, 1.499920892234617, 0.11160693044891516]",0.014159915792108605,10.000645140019746,3966.8437937078343,10.001651396696714,5999.999813096263,0t49fgtahnrvv000294qhkf8jm
0t49sb9c3dzr7000j65qct19vc,1.6965972000034526,0.16831530681908388,0.0003155582330498518,"[0.0016100582693140617, 1.4997064518168786, 0.31256577511433253, 1.4997840938332265, 1.499451332494162, 0.11049091469788257]",0.010269880590537973,3999.9996471406794,5999.999968938251,5999.999672640869,10.001973243902942,0t49fgtahnrvv000294qhkf8jm
0t49sm2wzdvg70007c4exkybb8,1.7951222999836318,0.02195060960778944,0.0002836576346347005,"[0.0015958456756324374, 1.4997385841670705, 0.3267847000559551, 1.4996699636544872, 1.4997787287641335, 0.11053840289505365]",0.024910454437636616,10.000351597287302,100.00017411152251,10.002724850495259,5999.999773674614,0t49fgtahnrvv000294qhkf8jm
0t49svbpq1za9000t25mgsxnjg,1.8506356999860145,0.053510499819137185,0.0002799083295237773,"[0.0015004103034943865, 1.499766426144522, 0.2977751177751552, 1.4996008815241448, 1.4998275876367781, 0.11041910235156782]",0.021541775205029826,10.001955621040821,1127.6073043077758,5999.999239837128,10.000151809339075,0t49fgtahnrvv000294qhkf8jm
0t49t0pmj5v29000xzs6na1nf0,1.9076564999995753,0.15997838014888116,0.00020764466050269707,"[0.0014815971855468082, 1.4998487073930244, 0.2982148894920712, 1.4993533443401756, 1.4997394068054597, 0.1111429756491896]",0.022065774810346016,1777.551436802784,3978.893865310776,2190.2084468733588,3170.8552285156215,0t49fgtahnrvv000294qhkf8jm
0t49t8tkfhsfs0002fnfrapphc,1.8421475000213832,0.0690976027357592,0.00022793458968750423,"[0.0015173305879065124, 1.4999544646627383, 0.3246393061974809, 1.4993532856398755, 1.499878299357888, 0.11061641483018106]",0.027057880182031185,10.003671574437632,1171.9181347328893,5999.998532608383,5999.999913802394,0t49fgtahnrvv000294qhkf8jm
0t49tjvx8sykz000zan76v7t74,2.1674554999917746,0.1441358853708236,0.0002894097736601899,"[0.0014515836211006355, 1.4998957046590227, 0.30000508506533186, 1.499630047636249, 1.4997305751769061, 0.11211787296701178]",0.03464363339178506,10.000373259934754,5999.9999691410985,10.00086131705549,10.001035576390656,0t49fgtahnrvv000294qhkf8jm
0t49tqrt3xv690001v67f5xwxw,2.0976571000064723,0.059941622408847595,0.00024705556101277756,"[0.0013752940841031402, 1.4996994297881723, 0.26385307319278384, 1.4999819923722881, 1.4999285747406157, 0.11577080722375742]",0.023972340213258836,3999.9991113846777,1186.5546931471551,10.00000156795239,10.000954565147604,0t49fgtahnrvv000294qhkf8jm
