run_id,ALD_prep_time,ALD_purge_flow_rate,ALD_purge_plasma_flow_rate,ALD_purge_time,Ar_plasma_flow_rate,Ar_process_flow_rate,H2_plasma_flow_rate,LC_preset,N2_plasma_flow_rate,Number_of_ALD_cycles,RF_power_setpoint,Sample_name,TC_preset,ald_valves_delay,plasma_duration,plasma_prep_time,plasma_pressure,plasma_purge_time,precursor_dose_time,precursor_purge_time,process_pressure,Initial_thickness,Temperature,dep_rate_fit,dep_rate_mean,dep_rate_direct,dep_rate_deviation,fit_diff_variation,is_prior,from_recommendation_id,campaign_id
0tdvpwgypxxws000qryt7qh0wr,3996,19,0,16,0,25,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4990,16,25,14,4999,16,5,66.559,150,0.19598142857142858,0.19555000000000028,0.18627999999999986,0.0038185169147936953,3.246988173575411,False,0tdvpwgyksv7b000qrzp4p95yr,0tdv8ge7ndve5000dygb2eq7p0
0tdvq3brbdz5d0009mcvvpqpjw,100,19,0,4998,0,89,99,50,0,25,299,260317_TDMAT_Campaign0026,30,10,4993,10,299,9995,2898,4998,5,71.435,150,0.0,0.0,0.001519999999999868,1e-06,0.1767725768276285,False,0tdvq3br89t9h0009ct204603w,0tdv8ge7ndve5000dygb2eq7p0
0tdvq42y2htnv0004mvewagjem,3996,19,0,10,0,25,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,102,4990,25,18,100,10,75,71.547,150,0.018636071428571505,0.0186000000000003,0.0205600000000004,0.0030826704564151635,0.3558818165976591,False,0tdvq42xzht9x000bmxvsm5z08,0tdv8ge7ndve5000dygb2eq7p0
0tdvq8ytvhw2k0008p4hepd97g,3998,1,0,4999,0,25,99,50,0,25,299,260317_TDMAT_Campaign0026,30,10,102,11,299,13,2151,4999,146,72.168,150,0.06277285714285746,0.059585714285714984,0.06199999999999989,0.017827821641741584,2.5865093621191133,False,0tdvq8ytrdrnf000k42zt6k0tc,0tdv8ge7ndve5000dygb2eq7p0
0tdvqgneq9swz000djm33nne7m,3998,19,0,5,0,89,25,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4996,4985,25,24,101,5,5,73.736,150,0.0,0.0,-0.0006800000000004047,1e-06,0.05094562080848803,False,0tdvqgnem9r1x000zqke0jga50,0tdv8ge7ndve5000dygb2eq7p0
0tdvqhc6g5yjx00042ksns4e10,3999,1,0,4999,0,62,25,50,0,25,299,260317_TDMAT_Campaign0026,30,10,4996,14,25,9998,2927,4999,299,73.683,150,0.02831999999999982,0.029876923076922315,0.046639999999999876,0.014310467059310366,4.870460091809949,False,0tdvqhc6dhyz9000ndzvmwnh8r,0tdv8ge7ndve5000dygb2eq7p0
0tdvqz6q4nxaq000b0qwz43ka0,3997,19,0,4998,0,25,25,50,0,25,299,260317_TDMAT_Campaign0026,30,10,4999,26,25,9999,100,4998,110,74.654,150,0.01921035714285745,0.03144000000000062,0.026519999999999867,0.024998127929905443,1.2833655461536593,False,0tdvqz6q21wtk000esz9xb5fm0,0tdv8ge7ndve5000dygb2eq7p0
0tdvrby0cdx0d000px7vhy21k8,102,1,0,5,0,25,99,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4999,4999,299,18,2379,5,131,75.1,150,-0.0006657142857143075,0.006424999999996572,0.005120000000000005,0.001418405795256249,0.2979717774424602,False,0tdvrby099x7h000kj4gmnzdy4,0tdv8ge7ndve5000dygb2eq7p0
0tdvrj541nyan000kc73hx5pa8,103,1,0,9,0,59,99,50,0,25,299,260317_TDMAT_Campaign0026,30,10,4999,4995,25,9995,101,9,5,75.253,150,0.01687214285714269,0.0351000000000012,0.04492000000000019,0.012728422026030235,2.873604413608267,False,0tdvrj53z1tnx000a1v097g804,0tdv8ge7ndve5000dygb2eq7p0
0tdvrvdsfdx0v0004gz5x2vsqr,101,19,0,4994,0,64,99,50,0,25,25,260317_TDMAT_Campaign0026,30,10,4998,4998,25,14,2135,4994,299,75.949,150,0.05613500000000023,0.05527857142857227,0.05372000000000014,0.0065666014879868905,0.48951982038152614,False,0tdvrvdsc9ss1000gwmn19dk6c,0tdv8ge7ndve5000dygb2eq7p0
