recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_duration,precursor_dose_time,plasma_purge_time,ALD_purge_time,campaign_id
0t4w43jvpnyy50005w6t5fjvsr,1.4723654999979772,0.11359785988677261,0.000803298342423934,"[0.002103934437774596, 1.4994050958212939, 0.18626285543772303, 1.4999625104015575, 1.4994629611271155, 0.10424546989746679]",0.0218477177006367,100.00015552113656,4267.339257348569,19999.997173401705,9999.99775272907,0t4vqs613hzwx000c4eqn02kwm
0t4w4qv7wxt9v000cdbdasgv28,1.566806299961172,0.11373400466130917,0.0007230457780540172,"[0.002114256462108898, 1.4998575212700211, 0.1928199104351097, 1.499706276932257, 1.4998630368305728, 0.10251146236576461]",0.025249278805960233,100.00392722120368,9999.999825062127,19999.996346363147,9999.99731218848,0t4vqs613hzwx000c4eqn02kwm
0t4w5eb879rt9000pqnpz8tj0r,1.5457451000111178,0.14933619327740277,0.0007283397355488105,"[0.0021482960685612097, 1.4986049578815508, 0.20250315300033306, 1.4996989173921764, 1.499643292045365, 0.09925736240664114]",0.026855200230197458,100.00260141629846,9999.999983810967,10.001718030429943,10.000601271540472,0t4vqs613hzwx000c4eqn02kwm
0t4w5n7bf9sr7000j42xd4pz9m,1.4843126999912784,0.15102162148768475,0.0007430225328386226,"[0.0022000544970499324, 1.4999569298641893, 0.20716911998428944, 1.4998460330395336, 1.3895498713544998, 0.1002298573225616]",0.03202036734390984,9999.99645335286,4162.353476006778,10.003261589152114,9999.998083008339,0t4vqs613hzwx000c4eqn02kwm
0t4w65gdg5td1000898vcvtzdw,1.4927933000144549,0.014681990412160686,0.0007869130427359863,"[0.0024078496352271557, 1.4998340301481798, 0.24115993357234966, 1.4998187448291636, 1.4941440443633431, 0.09763986700798769]",0.018798043111514583,100.00019702839744,100.00051135097021,19999.997021385025,10.000504890889646,0t4vqs613hzwx000c4eqn02kwm
0t4w6gah4nz1h0004179b4swyg,1.5449220000300556,0.1314690868256297,0.0006915978944687218,"[0.0023183175774393466, 1.4999226327849602, 0.23548310595983601, 1.4998963945489276, 1.4953857398755328, 0.09882546550429162]",0.04331942805504851,9999.999219468658,5749.037955409235,19999.99585228478,9999.999881641921,0t4vqs613hzwx000c4eqn02kwm
0t4w79161xtjv000r44dsxv600,1.4709711999748833,0.042504197405180924,0.0006311657794709154,"[0.002223704732648435, 1.4965607596895087, 0.22745977895532665, 1.499768220599651, 1.497749203546343, 0.09866700780966811]",0.02669754193281013,100.0008433969603,775.4408899394838,10.001905511134192,9999.999995820766,0t4vqs613hzwx000c4eqn02kwm
0t4w7m3wdxtjx000076223f950,1.377401000005193,0.13007267195662428,0.0006138316568952638,"[0.002263238865907683, 1.497986926757664, 0.23200316050772296, 1.4994986046258179, 1.4993963119611644, 0.09868414561762094]",0.024440969916459828,100.00061309309518,8429.51316996559,10.00780353235184,9999.995739126127,0t4vqs613hzwx000c4eqn02kwm
0t4w8262a1zbs0006yaq77q6cc,1.529561399947852,0.022389728117196292,0.0006325493780319468,"[0.00256072033678288, 1.4989501881906304, 0.2594910376398728, 1.4999174877392023, 1.4927626278266888, 0.0959623012132052]",0.029237629430877782,9999.997913516314,100.00144033443671,19999.995785280742,9999.998938589377,0t4vqs613hzwx000c4eqn02kwm
0t4w8rp2bsxzz000dt7fgvgx9r,1.5635118000209332,0.10042290340556363,0.0005869311032955495,"[0.0024663101299231376, 1.498627582589707, 0.2548605086304, 1.4999204523076104, 1.4947141368575037, 0.09600394038575133]",0.029460988825251867,100.00099221302644,6307.568846255963,19999.99805921535,9999.999847097226,0t4vqs613hzwx000c4eqn02kwm
0t4w9dqjb9vjn000adjqt7tk1m,1.3736367000383325,0.1443890938384752,0.0006107714096575595,"[0.0025584818000354004, 1.4998058422599285, 0.26785537955740435, 1.4999778438934768, 1.4440374904675763, 0.09167811388195424]",0.033577564251386034,9999.99804255609,7895.564060238637,19999.996937668668,9999.999322855132,0t4vqs613hzwx000c4eqn02kwm
0t4wa790jhz8s000t5czfg15d8,1.565286599972751,0.14641177149304668,0.0004995345565331281,"[0.002696955959836137, 1.4999380763331278, 0.2912418286690729, 1.499916827578295, 1.4832111745833456, 0.0883043503278929]",0.02665634756190314,100.00056845597244,6957.711675039653,19999.996302377564,10.000716806298202,0t4vqs613hzwx000c4eqn02kwm
0t4wamrqf9y6h000fh6jnbt1x4,1.6709701999789104,0.14899869820048053,0.0006739934909254539,"[0.0026852280827685364, 1.4997028053243784, 0.29207862300890886, 1.499699751118035, 1.4940684372216042, 0.08732976322607662]",0.029764775207882555,9999.997574376395,9999.999927006556,10.00548371091948,9999.998326344634,0t4vqs613hzwx000c4eqn02kwm
