,rmse_all_exp,rmse_all_exp_sem,rmse_current_exp,rmse_current_exp_sem,information_gain
40,0.049225063345381535,0.006282873787887862,0.029894619730118695,0.004644444915276829,
41,0.04913113829682758,0.006273766113981453,0.029794452306396782,0.00463471612372509,
42,0.04764892077084957,0.005898751532188709,0.02762237600157774,0.00446602104133303,
43,0.047723014081235166,0.005918921553474483,0.027659278903285036,0.004464121501584346,
44,0.04768935987519244,0.0058946212755666754,0.027643995569031448,0.004481225527231844,
45,0.04739389523750266,0.005631928581983315,0.023464439200575286,0.0039140191832516364,
46,0.0477465243798378,0.005577006128718915,0.022932418980870152,0.003877436696187173,
47,0.04771354719345205,0.00555258125197566,0.02042547789742509,0.003742073160342371,
48,0.04768336224313215,0.005533248448271767,0.020389024968528912,0.003786343580202009,
49,0.047591139516650616,0.005581483747669003,0.020058643317375023,0.003787974697482008,
50,0.04708496280004787,0.005614724381184378,0.020155628606291595,0.0038591214174817394,
51,0.047006880432686964,0.0056314035956949345,0.019944290376446742,0.003860405868402652,
52,0.04728338718658025,0.005600928901113857,0.019637686944366853,0.0038342531838846776,
53,0.04729812067847575,0.005599703393095815,0.0195523211890993,0.0038163499503677213,
54,0.047263497130547394,0.005552974342246304,0.01819560879277195,0.0035681136345799003,
55,0.047487741966566736,0.00555493164569956,0.01817715416729886,0.0035627404158039577,
56,0.04722272084679948,0.005591096050373279,0.01849141810180165,0.0035937632263341895,
57,0.04809754070751119,0.005544823470759338,0.01718896780647261,0.0035492562769017695,
58,0.04801039684969769,0.005552690206643325,0.01721831689998064,0.0035496583305746074,
59,0.048122363680309935,0.005539984477910492,0.017299063788610236,0.0035845172692385145,
60,0.0480695849336257,0.005549808929946774,0.0172792840075458,0.0035837942681837404,
61,0.04824651214114731,0.005551479836090807,0.01703926470183733,0.003617115658021891,
62,0.0482283770843117,0.005554865803153063,0.016824737915873952,0.0035449197686822755,
63,0.04817257551239517,0.005544873889800289,0.016807127631373913,0.0035530915272586477,
64,0.04826894959057087,0.0055407613213861095,0.016820706603874833,0.0035477560797800025,
65,0.04814571352552433,0.005549565554702898,0.016807842612101373,0.0035507290497340674,
66,0.048265849541566,0.005529333504311623,0.016754755139065595,0.0035432730613287264,
67,0.04825447675991333,0.00552349459081173,0.016628119112916527,0.003556030112560428,
68,0.04800573185650764,0.005553386493013844,0.016652733241366402,0.003559737401140655,
69,0.04774705515428065,0.005558819386632242,0.016491688559594802,0.0035557035482745394,
70,0.0477809599882609,0.005562743749054328,0.01651839444334949,0.0035548567630447913,
71,0.04779411797986707,0.0055495412605259435,0.016524532670370365,0.0035654511523661968,
72,0.04766909499099607,0.005553967053637497,0.016605288986605293,0.003568937885309009,
73,0.04769160350165045,0.0055611764061130565,0.016486029768924083,0.0035678282730849968,
74,0.04762644530955996,0.005569517588553331,0.01649292547215658,0.003565779754208343,
75,0.0476150434763229,0.005571718791994274,0.016477818275968042,0.0035669121877051992,
76,0.04765302375169312,0.00556222031016458,0.01647178669992779,0.0035618818538443254,
77,0.047882427954718275,0.005559913652090325,0.016180908283610355,0.0035121352631347184,
78,0.047934599895944605,0.005556674829644165,0.016177734480156178,0.003513665465507367,
79,0.047712354811568214,0.0056255933717251705,0.0133578142684225,0.0027678879799753415,
80,0.04778659402952755,0.005630203626928977,0.013415969779136446,0.002766194690528725,
81,0.04787220858926039,0.005627770170355102,0.013540039901017426,0.002784942785428564,
82,0.04770650275837369,0.005625147199600068,0.012483529181208788,0.0027421864889368586,
83,0.04722872363658375,0.0056304141644996425,0.011668649316266766,0.002722125775299615,
84,0.0470719536517241,0.005646179639512291,0.011782267223549933,0.002739207913714919,
85,0.047090801346515034,0.005644895139368325,0.011609683869970583,0.002736781654998588,
86,0.04705582286793618,0.005646759732920603,0.011552088015140355,0.0027536012025240887,
87,0.046953355666148895,0.005665296984271635,0.011010691969999252,0.002756084496422301,
88,0.046845193108456765,0.005689280157080876,0.011076700051300702,0.0027668629276152495,
89,0.04682475960343834,0.005691463017919499,0.011158803783526735,0.002771485755160566,
90,0.04694483118440314,0.005680030167072434,0.01105090397703122,0.0027602714378098417,
91,0.046842841954556236,0.005687736731426242,0.010867486297625486,0.0027458151928629795,
92,0.046839776769596206,0.005687435616378084,0.010847062172789067,0.002749062311800293,
93,0.04685755838113938,0.0056877501555161825,0.010877683112252005,0.002751457623023976,
94,0.046767442729522525,0.005699035375228997,0.010777107788862868,0.0027527145774342504,
95,0.04660976378781669,0.005705660852719961,0.010691850973483708,0.0027586606796474638,
96,0.04668830042579456,0.0056964177530302,0.010674019744525184,0.002755347882970977,
97,0.04687129273470914,0.005670916763625328,0.009950417860550943,0.002583738079253864,
98,0.0467090753580223,0.0056738156127632885,0.009986668763115518,0.002572679238319363,
99,0.047087130191806444,0.005697431988333429,0.00884979268378321,0.0024015180093873035,
